STORE_NAME,CATEGORY_ID,PRODUCT_ID,PRODUCT_NAME,PRODUCT_PRICE
Falabella,cat30046,881740989,https://www.falabella.com.ar/falabella-ar/product/881740989/Sillon-Cash-tela-3-cuerpos/881740989,Sillón Cash tela 3 cuerpos,49990.0
Falabella,cat30046,881869356,https://www.falabella.com.ar/falabella-ar/product/881869356/Puff-plegable-38x38x33.5-cm/881869356,Puff plegable 38x38x33.5 cm,1990.0
Falabella,cat30046,881869312,https://www.falabella.com.ar/falabella-ar/product/881869312/Puff-plegable-38x38x33.5-cm/881869312,Puff plegable 38x38x33.5 cm,1990.0
Falabella,cat30046,881869266,https://www.falabella.com.ar/falabella-ar/product/881869266/Puff-plegable-kids-38x38x33.5-cm/881869266,Puff plegable kids 38x38x33.5 cm,1990.0
Falabella,cat30046,prod6390011,https://www.falabella.com.ar/falabella-ar/product/prod6390011/Sillon-2-cuerpos-chenille-Chesterfield/2810890,Sillón 2 cuerpos chenille Chesterfield,126340.0
Falabella,cat30046,1805633,https://www.falabella.com.ar/falabella-ar/product/1805633/Mesa-para-LCD-MT4000-55-/1805633,"Mesa para LCD MT4000 55""",5550.0
Falabella,cat30046,prod5680032,https://www.falabella.com.ar/falabella-ar/product/prod5680032/Sillon-2-cuerpos-ecocuero-Salerno/1242941,Sillón 2 cuerpos ecocuero Salerno,28590.0
Falabella,cat30046,prod6320003,https://www.falabella.com.ar/falabella-ar/product/prod6320003/Mesa-de-TV-Evo-55-/2882306,"Mesa de TV Evo 55""",7590.0
Falabella,cat30046,2934280,https://www.falabella.com.ar/falabella-ar/product/2934280/Mesa-de-TV-MT4001P-55-/2934280,"Mesa de TV MT4001P 55""",7100.0
Falabella,cat30046,2240569,https://www.falabella.com.ar/falabella-ar/product/2240569/Mesa-de-TV-MT6000BL-42-/2240587,"Mesa de TV MT6000BL 42""",5730.0
Falabella,cat30046,2904375,https://www.falabella.com.ar/falabella-ar/product/2904375/Sillon-Trento-3-cuerpos/2904375,Sillón Trento 3 cuerpos,35390.0
Falabella,cat30046,2934281,https://www.falabella.com.ar/falabella-ar/product/2934281/Mesa-de-TV-MT4001W-55-/2934281,"Mesa de TV MT4001W 55""",7100.0
Falabella,cat30052,3101939,https://www.falabella.com.ar/falabella-ar/product/3101939/Organizador-Frutero/3101939,Organizador Frutero,6190.0
Falabella,cat30052,3101938,https://www.falabella.com.ar/falabella-ar/product/3101938/Escobero-Maxi/3101938,Escobero Maxi,7910.0
Falabella,cat30052,1805640,https://www.falabella.com.ar/falabella-ar/product/1805640/Alacena-T6BL/1805640,Alacena T6BL,3590.0
Falabella,cat30052,prod6950021,https://www.falabella.com.ar/falabella-ar/product/prod6950021/Silla-francesa/2474765,Silla francesa,39690.0
Falabella,cat30052,prod6300055,https://www.falabella.com.ar/falabella-ar/product/prod6300055/Mesa-de-comedor-6-puestos-Roma/2631961,Mesa de comedor 6 puestos Roma,19990.0
Falabella,cat30052,2847055,https://www.falabella.com.ar/falabella-ar/product/2847055/Organizador-G14BL/2847055,Organizador G14BL,5920.0
Falabella,cat30052,2847054,https://www.falabella.com.ar/falabella-ar/product/2847054/Organizador-microondas/2847054,Organizador microondas,5560.0
Falabella,cat30052,3101941,https://www.falabella.com.ar/falabella-ar/product/3101941/Organizador-Mozart/3101941,Organizador Mozart,12430.0
Falabella,cat30052,2474718,https://www.falabella.com.ar/falabella-ar/product/2474718/Banqueta-regulable/2474718,Banqueta regulable,10810.0
Falabella,cat30052,prod6390018,https://www.falabella.com.ar/falabella-ar/product/prod6390018/Silla-de-comedor-Siena/2410256,Silla de comedor Siena,14890.0
Falabella,cat30052,2242804,https://www.falabella.com.ar/falabella-ar/product/2242804/Organizador-6-estantes/2242804,Organizador 6 estantes,4460.0
Falabella,cat30052,1805637,https://www.falabella.com.ar/falabella-ar/product/1805637/Organizador-maxi-DIS4BL/1805637,Organizador maxi DIS4BL,11220.0
Falabella,cat2830001,881870680,https://www.falabella.com.ar/falabella-ar/product/881870680/Silla-de-terraza-Casa-blanca/881870680,Silla de terraza Casa blanca,41580.0
Falabella,cat2830001,3102682,https://www.falabella.com.ar/falabella-ar/product/3102682/Sillon-Alexia-1-cuerpo/3102682,Sillón  Alexia 1 cuerpo,27720.0
Falabella,cat2830001,881224410,https://www.falabella.com.ar/falabella-ar/product/881224410/Silla-de-exterior-Melody/881224410,Silla de exterior Melody,8990.0
Falabella,cat2830001,881336811,https://www.falabella.com.ar/falabella-ar/product/881336811/Sillon-Kretes-poliester-1-cuerpo/881336811,Sillón Kretes poliéster 1 cuerpo,103980.0
Falabella,cat2830001,881553522,https://www.falabella.com.ar/falabella-ar/product/881553522/Sillon-Kretes-1-cuerpo/881553522,Sillón Kretes 1 cuerpo,130760.0
Falabella,cat2830001,881336809,https://www.falabella.com.ar/falabella-ar/product/881336809/Silla-Kretes/881336809,Silla Kretes,40280.0
Falabella,cat2830001,881553550,https://www.falabella.com.ar/falabella-ar/product/881553550/Sillon-Kretes-3-cuerpos/881553550,Sillón Kretes 3 cuerpos,194980.0
